us_l3code,us_l3name,site_count
6,Central California Foothills and Coastal Mountains,23
85,Southern California/Northern Baja Coast,17
5,Sierra Nevada,7
7,Central California Valley,6
81,Sonoran Basin and Range,6
13,Central Basin and Range,5
14,Mojave Basin and Range,4
1,Coast Range,3
9,Eastern Cascades Slopes and Foothills,3
4,Cascades,1
78,Klamath Mountains/California High North Coast Range,1
8,Southern California Mountains,1
80,Northern Basin and Range,1
