us_l4code,us_l4name,color
8e,Southern California Lower Montane Shrub and Woodland,#CF8DFF
8f,Southern California Montane Conifer Forest,#D48BFF
8d,Southern California Subalpine/Alpine,#D889FF
4h,Southern Cascades Foothills,#DC87FF
9i,Southern Cascades Slope,#E085FF
85j,Southern Channel Islands,#E483FF
7v,Southern Clayey Basins,#E881FF
7d,Southern Hardpan Terraces,#EB80FF
6aj,Southern Santa Lucia Range,#EF7EFF
5n,Southern Sierra Lower Montane Forest and Woodland,#F27CFF
5m,Southern Sierra Mid-Montane Forests,#F47BFF
5k,Southern Sierra Subalpine Forests,#F779FE
5l,Southern Sierra Upper Montane Forests,#FA78FC
6c,Southern Sierran Foothills,#FC77F9
7l,Stockton Basin,#FF76F6
6q,Suisun Terraces and Low Hills,#FF75F4
7f,Sutter Buttes,#FF74F1
6ae,Tehachapi Foothills,#FF73EE
5o,Tehachapi Mountains,#FF72EB
6e,Tehama Terraces,#FF72E8
6ac,Temblor Range/Elk Hills,#FF71E5
13u,Tonopah Basin,#FF71E2
13v,Tonopah Sagebrush Foothills,#FF71DE
7r,Tulare Basin/Fresno Slough,#FF71DB
6a,Tuscan Flows,#FF71D8
81e,Upper Coachella Valley and Hills,#FF71D4
13ac,Upper Owens Valley,#FF71D1
6ar,Upper Sacramento River Alluvium,#FF71CD
6v,Upper Santa Clara Valley,#FF72C9
85c,Venturan-Angeleno Coastal Hills,#FF72C5
9m,Warner Mountains,#FF73C2
78i,Western Klamath Low Elevation Forests,#FF73BE
78j,Western Klamath Montane Forests,#FF74BA
14j,Western Mojave Basins,#FF75B6
14m,Western Mojave High Elevation Mountains,#FF76B2
14k,Western Mojave Low Ranges and Arid Footslopes,#FF77AD
14l,Western Mojave Mountain Woodland and Shrubland,#FF78A9
81c,Western Sonoran Basins,#FF79A5
81b,Western Sonoran Mountain Woodland and Shrubland,#FF7AA1
81a,Western Sonoran Mountains,#FF7B9C
8a,Western Transverse Range Lower Montane Shrub and Woodland,#FF7C98
8b,Western Transverse Range Montane Forest,#FF7D93
6h,Western Valley Foothills/Dunnigan Hills,#FF7F8E
7o,Westside Alluvial Fans and Terraces,#FF808A
7g,Yolo Alluvial Fans,#FF8185
7h,Yolo/American Basin,#FF8380
